"{""a"" "	: 	"3, "	"""b"" "	: 	"4, "	"""c"" "	: 	"5}	scalene"
"{""a"" "	: 	"3, "	"""b"" "	: 	"3, "	"""c"" "	: 	"1}	isosceles"
"{""a"" "	: 	"3, "	"""b"" "	: 	"4, "	"""c"" "	: 	"100}	error"
"{""a"" "	: 	"10,"	"""b"" "	: 	"10,"	"""c"" "	: 	"10}	equilateral"
"{""a"" "	: 	"15,"	"""b"" "	: 	"5,"	"""c"" "	: 	"15}	isosceles"
"{""a"" "	: 	"15,"	"""b"" "	: 	"15,"	"""c"" "	: 	"5}	isosceles"
"{""a"" "	: 	"5,"	"""b"" "	: 	"15,"	"""c"" "	: 	"15}	isosceles"
"{""a"" "	: 	"3,"	"""b"" "	: 	"5,"	"""c"" "	: 	"7}	scalene"
"{""a"" "	: 	"8,"	"""b"" "	: 	"6,"	"""c"" "	: 	"500}	error"
"{""a"" "	: 	"25,"	"""b"" "	: 	"25,"	"""c"" "	: 	"25}	equilateral"
"{""a"" "	: 	"9,"	"""b"" "	: 	"15,"	"""c"" "	: 	"20}	scalene"
"{""a"" "	: 	"1,"	"""b"" "	: 	"2,"	"""c"" "	: 	"123}	error"
"{""a"" "	: 	"65,"	"""b"" "	: 	"65,"	"""c"" "	: 	"45}	isosceles"
"{""a"" "	: 	"6,"	"""b"" "	: 	"18,"	"""c"" "	: 	"911}	error"
"{""a"" "	: 	"44,"	"""b"" "	: 	"44,"	"""c"" "	: 	"44}	equilateral"
"{""a"" "	: 	"6.5, "	"""b"" "	: 	"6.5, "	"""c"" "	: 	"6.5}	equilateral"
"{""a"" "	: 	"8.5, "	"""b"" "	: 	"8.5, "	"""c"" "	: 	"17}	isosceles"
"{""a"" "	: 	"9, "	"""b"" "	: 	"5, "	"""c"" "	: 	"}	error"
"{""a"" "	: 	"0,"	"""b"" "	: 	"0,"	"""c"" "	: 	"0}	error"
"{""a"" "	: 	"5,"	"""b"" "	: 	"-5,"	"""c"" "	: 	"5}	error"
"{""a"" "	: 	"4,"	"""b"" "	: 	"6,"	"""c"" "	: 	"8}	scalene"
"{""a"" "	: 	"6,"	"""b"" "	: 	"8,"	"""c"" "	: 	"4}	scalene"
"{""a"" "	: 	"8,"	"""b"" "	: 	"4,"	"""c"" "	: 	"6}	scalene"
"{""a"" "	: 	"0,"	"""b"" "	: 	"-8,"	"""c"" "	: 	"}	error"
